url,credibility,description
https://jeffersonreporter.com/,low,fake_news
https://jocotoday.com/,low,fake_news
https://jonesborotimes.com/,low,fake_news
https://www.judicialwatch.org,low,fake_news
https://justthenews.com/,low,fake_news
https://kanecountyreporter.com/,low,fake_news
https://kankakeetimes.com/,low,fake_news
https://kauaisun.com/,low,fake_news
https://kendallcountytimes.com/,low,fake_news
https://kentcountytoday.com/,low,fake_news
https://kentuckianatimes.com/,low,fake_news
https://kerncountytimes.com/,low,fake_news
https://keywestreporter.com/,low,fake_news
https://kingscountytimes.com/,low,fake_news
https://www.knightstemplarorder.com/,low,fake_news
https://kokomostandard.com/,low,fake_news
https://www.ladbible.com/,low,fake_news
https://lafayettetimes.com/,low,fake_news
https://laharbornews.com/,low,fake_news
https://lakecountygazette.com/,low,fake_news
https://laketahoesun.com/,low,fake_news
https://www.lancastercourier.com/,low,fake_news
https://larimernews.com/,low,fake_news
https://lastfrontiernews.com/,low,fake_news
https://lawrencereporter.com/,low,fake_news
https://laxleader.com/,low,fake_news
http://leftaction.com/,low,fake_news
https://www.libertybell.com/,low,fake_news
https://libertytalk.fm/,low,fake_news
https://www.libertynews.com/,low,fake_news
https://www.lifenews.com/,low,fake_news
https://lindelltv.com/,low,fake_news
https://litchfieldhillstoday.com/,low,fake_news
https://littleappletimes.com/,low,fake_news
https://www.louderwithcrowder.com,low,fake_news
https://lowedeltanews.com/,low,fake_news
https://www.lucianne.com/,low,fake_news
https://maconreporter.com/,low,fake_news
https://macontimes.com/,low,fake_news
https://madworldnews.com/,low,fake_news
https://magicvalleytimes.com/,low,fake_news
https://mainstreamfakemedia.com/,low,fake_news
https://manateereview.com/,low,fake_news
https://marinleader.com/,low,fake_news
https://matsutimes.com/,low,fake_news
https://mauireporter.com/,low,fake_news
https://mchenrytimes.com/,low,fake_news
https://mcleancountytimes.com/,low,fake_news
https://mercedtimes.com/,low,fake_news
https://en.mercopress.com/,low,fake_news
https://en.metapedia.org/wiki/Main_Page,low,fake_news
https://metricmedianews.com/,low,fake_news
https://metroeastsun.com/,low,fake_news
https://miamicourant.com/,low,fake_news
https://www.micdroppolitics.com/,low,fake_news
https://middleamericandemocrat.com,low,fake_news
https://mixi.media/,low,fake_news
https://mobilecourant.com/,low,fake_news
https://mohavetoday.com/,low,fake_news
https://montereytimes.com/,low,fake_news
https://moonbattery.com,low,fake_news
https://front.moveon.org,low,fake_news
https://www.msmlies.com/,low,fake_news
https://mtonews.com/,low,fake_news
https://munciereporter.com/,low,fake_news
https://nwiowanews.com/,low,fake_news
https://naplesstandard.com/,low,fake_news
https://naturecoasttimes.com/,low,fake_news
https://nationalinsiders.com/,low,fake_news
https://nationalpolicy.institute/,low,fake_news
https://www.nrlc.org/,low,fake_news
https://naturalstatenews.com/,low,fake_news
https://naugatucktimes.com/,low,fake_news
https://ncfloridanews.com/,low,fake_news
https://ncgeorgianews.com/,low,fake_news
https://nckansasnews.com/,low,fake_news
https://ncindiananews.com/,low,fake_news
https://nealabamanews.com/,low,fake_news
https://neatlantanews.com/,low,fake_news
https://necalinews.com/,low,fake_news
https://necoloradonews.com/,low,fake_news
https://neconnnews.com/,low,fake_news
https://nefloridanews.com/,low,fake_news
https://neindiananews.com/,low,fake_news
https://auburntimes.com/,low,fake_news
https://nekansasnews.com/,low,fake_news
https://nesacramentonews.com/,low,fake_news
https://nevalleytimes.com/,low,fake_news
https://www.news18.com/,low,fake_news
https://newsblaze.com/,low,fake_news
https://www.newsbreak.com/,low,fake_news
https://newsheist.com/,low,fake_news
https://newshourfirst.com/,low,fake_news
https://newspushed.com/,low,fake_news
https://www.newsready.com/,low,fake_news
https://newsrescue.com/,low,fake_news
http://newssloth.com/,low,fake_news
https://newswithviews.com/,low,fake_news
https://www.newsmax.com/,low,fake_news
https://en.newsner.com,low,fake_news
https://www.newsview.gr/,low,fake_news
https://www.youtube.com/nextnewsnetwork,low,fake_news
https://noqreport.com/,low,fake_news
https://www.nordicmonitor.com/,low,fake_news
https://northalaskanews.com/,low,fake_news
https://northbirminghamtimes.com/,low,fake_news
https://northbrowardnews.com/,low,fake_news
https://ncarkansasnews.com/,low,fake_news
https://northcoastcanews.com/,low,fake_news
https://northcooknews.com/,low,fake_news
https://northdsmnews.com/,low,fake_news
https://northegyptnews.com/,low,fake_news
https://northfultontoday.com/,low,fake_news
https://northgwinnettnews.com/,low,fake_news
https://northidahotimes.com/,low,fake_news
https://northindynews.com/,low,fake_news
https://northinlandnews.com/,low,fake_news
https://northiowareporter.com/,low,fake_news
https://northjeffconews.com/,low,fake_news
https://northlaketimes.com/,low,fake_news
https://northlittlerocktimes.com/,low,fake_news
https://northmianews.com/,low,fake_news
https://northoctimes.com/,low,fake_news
https://auburntimes.com/,low,fake_news
https://auburntimes.com/,low,fake_news
https://northpanhandlenews.com/,low,fake_news
https://northpimanews.com/,low,fake_news
https://auburntimes.com/,low,fake_news
https://northsactoday.com/,low,fake_news
https://northnewcastlenews.com/,low,fake_news
https://northsfvtoday.com/,low,fake_news
https://northsgvnews.com/,low,fake_news
https://northwichitanews.com/,low,fake_news
https://notallowedto.com/,low,fake_news
https://www.npr.news/,low,fake_news
https://www.nationalrighttolifenews.org/,low,fake_news
https://www.ntd.com,low,fake_news
https://nwalabamanews.com/,low,fake_news
https://nwarkansasnews.com/,low,fake_news
https://nwatlantanews.com/,low,fake_news
https://nwconnnews.com/,low,fake_news
https://nwgeorgianews.com/,low,fake_news
https://nwillinoisnews.com/,low,fake_news
https://nwkansasnews.com/,low,fake_news
https://nwlatimes.com/,low,fake_news
https://nwriversidenews.com/,low,fake_news
https://nwvalleytimes.com/,low,fake_news
https://oaklandcitywire.com/,low,fake_news
https://www.objectivist.co/,low,fake_news
https://ocalastandard.com/,low,fake_news
http://occupydemocrats.com,low,fake_news
